Case ID,Activity,Concurrent Case Count,Avg Qty Completed by Others,Avg Qty Rejected by Others,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Others,Completion Time (minutes)
Case 178,Round Grinding - Machine 3,1,0.0,1.0,75.0,1,0,290.0
Case 178,Round Grinding - Machine 2,0,,,,0,0,60.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,56.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,322.0
Case 178,Lapping - Machine 1,0,,,,0,0,299.0
Case 178,Lapping - Machine 1,0,,,,0,0,427.0
Case 178,Grinding Rework - Machine 27,4,16.25,0.0,152.5,3,65,230.0
Case 178,Grinding Rework - Machine 2,0,,,,0,0,329.0
Case 178,Grinding Rework - Machine 2,0,,,,0,0,427.0
Case 178,Fix - Machine 19,0,,,,0,0,405.0
Case 178,Grinding Rework - Machine 2,1,0.0,0.0,28.0,1,0,550.0
Case 178,Grinding Rework - Machine 2,2,6.0,0.0,116.5,1,12,241.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,223.0
Case 178,Grinding Rework - Machine 27,3,12.0,0.0,195.33333333333334,3,36,9.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,121.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,317.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,68.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,18.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,47.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,299.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,160.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,245.0
Case 178,Grinding Rework - Machine 27,1,1.0,0.0,21.0,1,1,528.0
Case 178,Grinding Rework - Machine 27,1,4.0,0.0,281.0,1,4,408.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,310.0
Case 178,Grinding Rework - Machine 27,2,58.5,0.0,41.5,1,117,459.0
Case 178,Grinding Rework - Machine 27,1,13.0,0.0,241.0,1,13,197.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,103.0
Case 178,Grinding Rework - Machine 27,0,,,,0,0,194.0
Case 178,Turning & Milling Q.C.,0,,,,0,0,8.0
Case 178,Lapping - Machine 1,7,24.571428571428573,0.0,66.42857142857143,3,172,75.0
Case 178,Laser Marking - Machine 7,7,24.571428571428573,0.0,66.42857142857143,3,172,75.0
Case 178,Round Grinding - Machine 3,7,24.571428571428573,0.0,66.42857142857143,3,172,75.0
Case 178,Round Grinding - Q.C.,7,24.571428571428573,0.0,66.42857142857143,3,172,75.0
Case 179,Grinding Rework - Machine 27,0,,,,0,0,232.0
Case 179,Final Inspection Q.C.,0,,,,0,0,60.0
Case 179,Packing,7,14.375,0.0,63.75,3,115,60.0
Case 179,Grinding Rework - Machine 12,0,,,,0,0,125.0
Case 179,Final Inspection Q.C.,0,,,,0,0,120.0
Case 179,Packing,7,46.9,0.0,60.0,1,469,60.0
Case 179,Final Inspection Q.C.,3,17.0,0.0,154.66666666666666,3,51,40.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,100.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,67.0
Case 18,Turning & Milling - Machine 5,6,9.333333333333334,0.6666666666666666,244.5,4,56,103.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,16.0
Case 18,Turning & Milling - Machine 5,4,26.0,0.0,485.0,4,104,634.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,182.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,65.0
Case 18,Turning & Milling - Machine 4,2,15.333333333333334,0.0,243.66666666666666,3,46,571.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,135.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,1.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,656.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,655.0
Case 18,Turning & Milling - Machine 4,1,1.0,0.0,102.0,1,1,330.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,661.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,481.0
Case 18,Turning & Milling - Machine 4,3,13.6,0.0,72.0,5,68,75.0
Case 18,Turning & Milling - Machine 5,3,13.6,0.0,72.0,5,68,390.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,376.0
Case 18,Turning & Milling Q.C.,5,9.6,0.0,164.0,5,48,100.0
Case 18,Turning & Milling Q.C.,2,53.0,0.0,524.5,2,106,230.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,458.0
Case 18,Turning & Milling - Machine 5,2,32.5,0.0,224.0,2,65,60.0
Case 18,Turning & Milling - Machine 4,1,50.0,0.0,341.0,1,50,251.0
Case 18,Turning & Milling Q.C.,1,21.0,0.0,34.0,1,21,80.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,240.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,241.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,611.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,612.0
Case 18,Turning & Milling - Machine 4,3,0.3333333333333333,0.3333333333333333,89.0,1,1,549.0
Case 18,Laser Marking - Machine 7,1,0.0,0.0,356.0,1,0,76.0
Case 18,Turning & Milling Q.C.,0,,,,0,0,130.0
Case 18,Turning & Milling - Machine 4,3,7.0,0.0,117.0,3,21,244.0
Case 18,Turning & Milling - Machine 4,1,1.0,0.0,92.0,1,1,610.0
Case 18,Laser Marking - Machine 7,2,2.5,0.25,71.25,3,10,75.0
Case 18,Laser Marking - Machine 7,2,2.5,0.25,71.25,3,10,75.0
Case 18,Laser Marking - Machine 7,2,2.5,0.25,71.25,3,10,75.0
Case 18,Turning & Milling Q.C.,3,31.25,0.25,281.0,2,125,100.0
Case 18,Turning & Milling - Machine 4,3,31.25,0.25,281.0,2,125,231.0
Case 18,Turning & Milling Q.C.,2,20.0,0.0,355.0,2,40,230.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,1.0
Case 18,Turning & Milling Q.C.,0,,,,0,0,100.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,93.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,360.0
Case 18,Turning & Milling Q.C.,0,,,,0,0,20.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,393.0
Case 18,Turning & Milling - Machine 4,3,16.666666666666668,0.3333333333333333,88.66666666666667,2,50,542.0
Case 18,Laser Marking - Machine 7,1,10.0,0.0,141.0,1,10,1.0
Case 18,Laser Marking - Machine 7,0,,,,0,0,26.0
Case 18,Turning & Milling - Machine 4,1,5.0,0.0,105.0,1,5,262.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,619.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,557.0
Case 18,Turning & Milling Q.C.,0,,,,0,0,170.0
Case 18,Turning & Milling Q.C.,1,0.0,0.0,171.0,1,0,40.0
Case 18,Turning & Milling - Machine 4,0,,,,0,0,60.0
Case 18,Turning & Milling - Machine 5,1,1.0,0.0,425.0,1,1,1.0
Case 18,Turning & Milling - Machine 5,1,1.0,0.0,425.0,1,1,425.0
Case 18,Turning & Milling - Machine 5,1,13.0,0.0,278.0,1,13,1.0
Case 18,Turning & Milling - Machine 4,1,13.0,0.0,278.0,1,13,276.0
Case 18,Turning & Milling Q.C.,1,0.0,0.0,60.0,1,0,224.0
Case 18,Laser Marking - Machine 7,0,,,,0,0,131.0
Case 18,Turning & Milling Q.C.,1,0.0,0.0,155.0,1,0,212.0
Case 18,Turning & Milling - Machine 5,1,3.0,0.0,94.0,1,3,62.0
Case 18,Turning & Milling - Machine 4,1,0.0,0.0,60.0,1,0,961.0
Case 18,Laser Marking - Machine 7,0,,,,0,0,66.0
Case 18,Laser Marking - Machine 7,1,0.0,0.0,65.0,1,0,1.0
Case 18,Turning & Milling Q.C.,4,9.8,0.2,260.0,3,49,14.0
Case 18,Turning & Milling Q.C.,7,14.142857142857142,0.0,352.85714285714283,7,99,30.0
Case 18,Turning & Milling Q.C.,0,,,,0,0,109.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,20.0
Case 18,Turning & Milling Q.C.,1,70.0,0.0,61.0,1,70,140.0
Case 18,Lapping - Machine 1,1,6.0,0.0,152.0,1,6,43.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,340.0
Case 18,Lapping - Machine 1,1,1.0,0.0,109.0,1,1,1.0
Case 18,Lapping - Machine 1,0,,,,0,0,367.0
Case 18,Lapping - Machine 1,0,,,,0,0,450.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,379.0
Case 18,Round Grinding - Machine 2,3,10.333333333333334,0.0,158.66666666666666,3,31,1.0
Case 18,Lapping - Machine 1,2,27.0,0.5,30.5,1,54,307.0
Case 18,Lapping - Machine 1,1,0.0,0.0,223.0,1,0,197.0
Case 18,Round Grinding - Machine 2,1,14.0,0.0,363.0,1,14,362.0
Case 18,Round Grinding - Machine 2,4,18.6,0.0,271.0,5,93,293.0
Case 18,Round Grinding - Machine 2,2,16.0,0.0,415.5,2,32,512.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,386.0
Case 18,Final Inspection Q.C.,0,,,,0,0,50.0
Case 18,Final Inspection Q.C.,0,,,,0,0,282.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,429.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,186.0
Case 18,Round Grinding - Machine 2,1,0.0,0.0,18.0,1,0,404.0
Case 18,Final Inspection Q.C.,3,10.75,0.0,324.5,4,43,100.0
Case 18,Final Inspection Q.C.,0,,,,0,0,372.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,41.0
Case 18,Packing,8,67.88888888888889,1.4444444444444444,65.0,3,611,60.0
Case 18,Final Inspection Q.C.,2,39.5,0.0,463.5,2,79,100.0
Case 18,Final Inspection Q.C.,2,33.0,0.5,270.5,1,66,170.0
Case 18,Lapping - Machine 1,0,,,,0,0,100.0
Case 18,Final Inspection Q.C.,2,7.0,0.5,41.5,2,14,282.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,171.0
Case 18,Lapping - Machine 1,1,105.0,0.0,75.0,1,105,75.0
Case 18,Turning & Milling - Machine 5,0,,,,0,0,75.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,130.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,285.0
Case 18,Packing,13,53.0,0.0,64.28571428571429,3,742,60.0
Case 18,Lapping - Machine 1,13,53.0,0.0,64.28571428571429,3,742,75.0
Case 18,Round Grinding - Machine 2,2,7.5,0.0,244.0,2,15,305.0
Case 18,Final Inspection Q.C.,2,52.5,2.5,198.5,2,105,90.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,399.0
Case 18,Final Inspection Q.C.,0,,,,0,0,90.0
Case 18,Final Inspection Q.C.,1,100.0,0.0,15.0,1,100,60.0
Case 18,Final Inspection Q.C.,0,,,,0,0,40.0
Case 18,Final Inspection Q.C.,1,24.0,0.0,60.0,1,24,45.0
Case 18,Final Inspection Q.C.,0,,,,0,0,27.0
Case 18,Lapping - Machine 1,3,33.0,0.3333333333333333,73.33333333333333,2,99,130.0
Case 18,Round Grinding - Machine 2,1,0.0,0.0,9.0,1,0,450.0
Case 18,Lapping - Machine 1,2,2.0,0.0,67.5,2,4,75.0
Case 18,Lapping - Machine 1,2,2.0,0.0,67.5,2,4,75.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,146.0
Case 18,Round Grinding - Machine 2,4,24.0,0.4,282.4,3,120,535.0
Case 18,Lapping - Machine 1,0,,,,0,0,442.0
Case 18,Final Inspection Q.C.,0,,,,0,0,65.0
Case 18,Round Grinding - Machine 2,1,20.0,0.0,584.0,1,20,582.0
Case 18,Lapping - Machine 1,1,0.0,0.0,75.0,1,0,75.0
Case 18,Packing,1,0.0,0.0,75.0,1,0,60.0
Case 18,Lapping - Machine 1,1,8.0,0.0,73.0,1,8,75.0
Case 18,Round Grinding - Machine 2,1,20.0,0.0,514.0,1,20,514.0
Case 18,Final Inspection Q.C.,1,0.0,0.0,100.0,1,0,30.0
Case 18,Lapping - Machine 1,0,,,,0,0,191.0
Case 18,Round Grinding - Machine 2,1,18.0,0.0,25.0,1,18,440.0
Case 18,Final Inspection Q.C.,1,0.0,0.0,60.0,1,0,220.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,47.0
Case 18,Lapping - Machine 1,0,,,,0,0,1.0
Case 18,Round Grinding - Machine 2,1,61.0,0.0,634.0,1,61,640.0
Case 18,Laser Marking - Machine 7,6,21.0,0.0,73.71428571428571,4,147,75.0
Case 18,Lapping - Machine 1,6,21.0,0.0,73.71428571428571,4,147,75.0
Case 18,Final Inspection Q.C.,2,28.5,0.0,161.5,1,57,100.0
Case 18,Grinding Rework - Machine 27,2,28.5,0.0,161.5,1,57,611.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,516.0
Case 18,Lapping - Machine 1,0,,,,0,0,208.0
Case 18,Final Inspection Q.C.,0,,,,0,0,230.0
Case 18,Lapping - Machine 1,1,0.0,0.0,90.0,1,0,85.0
Case 18,Final Inspection Q.C.,0,,,,0,0,192.0
Case 18,Lapping - Machine 1,0,,,,0,0,75.0
Case 18,Round Grinding - Machine 2,1,35.0,0.0,240.0,1,35,163.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,329.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,115.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,23.0
Case 18,Round Grinding - Machine 2,2,2.0,0.0,116.0,2,4,112.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,638.0
Case 18,Round Grinding - Machine 2,3,24.0,0.0,213.66666666666666,3,72,638.0
Case 18,Round Grinding - Machine 2,1,0.0,0.0,145.0,1,0,177.0
Case 18,Round Grinding - Machine 2,0,,,,0,0,17.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,88.0
Case 18,Final Inspection Q.C.,1,6.0,0.0,162.0,1,6,170.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,14.0
Case 18,Final Inspection Q.C.,3,30.333333333333332,0.0,269.6666666666667,2,91,60.0
Case 18,Packing,7,85.28571428571429,0.0,62.142857142857146,2,597,60.0
Case 18,Final Inspection Q.C.,0,,,,0,0,155.0
Case 18,Packing,8,16.8,0.0,66.0,3,168,60.0
Case 18,Final Inspection Q.C.,0,,,,0,0,181.0
Case 18,Final Inspection Q.C.,3,4.333333333333333,0.0,193.66666666666666,3,13,70.0
Case 18,Final Inspection Q.C.,1,0.0,0.0,200.0,1,0,230.0
Case 18,Final Inspection Q.C.,0,,,,0,0,284.0
Case 18,Final Inspection Q.C.,3,11.333333333333334,0.0,230.33333333333334,3,34,100.0
Case 18,Final Inspection Q.C.,0,,,,0,0,90.0
Case 18,Final Inspection Q.C.,1,87.0,0.0,60.0,1,87,230.0
Case 18,Final Inspection Q.C.,0,,,,0,0,130.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,105.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,15.0
Case 18,Grinding Rework - Machine 27,1,1.0,0.0,302.0,1,1,98.0
Case 18,Final Inspection Q.C.,0,,,,0,0,30.0
Case 18,Grinding Rework - Machine 27,0,,,,0,0,75.0
Case 18,Grinding Rework - Machine 12,0,,,,0,0,90.0
Case 18,Packing,8,10.25,0.0,65.625,3,82,60.0
Case 18,Final Inspection Q.C.,0,,,,0,0,65.0
Case 18,Packing,15,41.375,0.1875,81.5,5,662,60.0
Case 18,Final Inspection Q.C.,1,7.0,0.0,40.0,1,7,12.0
Case 182,Turning & Milling Q.C.,0,,,,0,0,3.0
Case 182,Grinding Rework - Machine 12,2,0.0,0.0,74.0,2,0,100.0
Case 182,Final Inspection Q.C.,0,,,,0,0,70.0
Case 182,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 182,Packing,5,5.6,0.0,66.0,2,28,60.0
Case 182,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 182,Turning & Milling - Machine 6,7,97.28571428571429,0.0,60.0,1,681,75.0
Case 182,Laser Marking - Machine 7,0,,,,0,0,75.0
Case 182,Lapping - Machine 1,1,12.0,0.0,60.0,1,12,1.0
Case 182,Turning & Milling Q.C.,0,,,,0,0,477.0
Case 182,Packing,8,26.25,0.0,65.625,3,210,60.0
Case 182,Round Grinding - Machine 3,1,9.0,0.0,231.0,1,9,17.0
Case 182,Final Inspection Q.C.,0,,,,0,0,195.0
Case 185,Turning & Milling - Machine 10,3,60.666666666666664,0.0,75.0,2,182,75.0
Case 185,Grinding Rework - Machine 27,0,,,,0,0,92.0
Case 185,Packing,4,3.5,0.0,63.75,2,14,60.0
Case 185,Packing,4,3.5,0.0,63.75,2,14,60.0
Case 185,Final Inspection Q.C.,0,,,,0,0,43.0
Case 185,Turning & Milling Q.C.,0,,,,0,0,190.0
Case 185,Turning & Milling Q.C.,4,34.75,0.0,120.25,3,139,134.0
Case 185,Laser Marking - Machine 7,0,,,,0,0,57.0
Case 185,Lapping - Machine 1,1,40.0,0.0,450.0,1,40,120.0
Case 185,Final Inspection Q.C.,1,1.0,0.0,311.0,1,1,78.0
Case 185,Final Inspection Q.C.,0,,,,0,0,55.0
Case 185,Lapping - Machine 1,0,,,,0,0,32.0
Case 185,Round Grinding - Machine 2,0,,,,0,0,162.0
Case 185,Round Grinding - Machine 2,1,96.0,0.0,13.0,1,96,149.0
Case 185,Round Grinding - Machine 2,0,,,,0,0,115.0
Case 185,Round Grinding - Machine 2,0,,,,0,0,167.0
Case 185,Round Grinding - Machine 2,0,,,,0,0,118.0
Case 185,Final Inspection Q.C.,1,0.0,2.0,20.0,1,0,542.0
Case 185,Final Inspection Q.C.,0,,,,0,0,230.0
Case 185,Packing,15,41.875,0.1875,81.5,5,670,60.0
Case 185,Final Inspection Q.C.,1,15.0,0.0,12.0,1,15,40.0
Case 187,Lapping - Machine 1,2,20.0,0.0,540.0,2,40,150.0
Case 187,Round Grinding - Machine 3,1,24.0,0.0,69.0,1,24,144.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,140.0
Case 187,Round Grinding - Machine 3,1,1.0,0.0,45.0,1,1,647.0
Case 187,Round Grinding - Machine 3,5,11.2,0.2,283.8,4,56,537.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,245.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,644.0
Case 187,Round Grinding - Machine 3,2,53.5,0.0,72.0,1,107,532.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,458.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,177.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,228.0
Case 187,Lapping - Machine 1,0,,,,0,0,43.0
Case 187,Round Grinding - Machine 3,1,10.0,0.0,440.0,1,10,440.0
Case 187,Round Grinding - Machine 3,1,6.0,0.0,299.0,1,6,344.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,112.0
Case 187,Round Grinding - Machine 3,0,,,,0,0,139.0
Case 187,Final Inspection Q.C.,0,,,,0,0,351.0
Case 187,Final Inspection Q.C.,1,0.0,0.0,266.0,1,0,347.0
Case 187,Final Inspection Q.C.,1,70.0,0.0,76.0,1,70,356.0
Case 187,Final Inspection Q.C.,1,0.0,0.0,192.0,1,0,361.0
Case 187,Packing,2,54.5,0.0,60.0,1,109,60.0
Case 187,Final Inspection Q.C.,0,,,,0,0,120.0
Case 187,Final Inspection Q.C.,3,10.0,0.0,195.0,3,30,71.0
Case 187,Round Grinding - Machine 3,4,11.75,0.0,67.5,3,47,75.0
Case 187,Final Inspection Q.C.,0,,,,0,0,15.0
Case 187,Final Inspection Q.C.,1,0.0,0.0,6.0,1,0,9.0
Case 187,Final Inspection Q.C.,1,10.0,2.0,215.5,2,20,61.0
Case 187,Final Inspection Q.C.,0,,,,0,0,115.0
Case 187,Final Inspection Q.C.,0,,,,0,0,2.0
Case 187,Packing,7,13.555555555555555,0.0,65.0,3,122,60.0
Case 187,Packing,4,59.5,0.0,93.75,3,238,60.0
Case 187,Packing,3,14.333333333333334,0.0,65.0,2,43,60.0
Case 187,Final Inspection Q.C.,1,200.0,0.0,540.0,1,200,181.0
Case 187,Laser Marking - Machine 7,5,58.142857142857146,0.5714285714285714,77.28571428571429,5,407,75.0
Case 188,Laser Marking - Machine 7,0,,,,0,0,105.0
Case 188,Lapping - Machine 1,0,,,,0,0,30.0
Case 188,Lapping - Machine 1,0,,,,0,0,160.0
Case 188,Lapping - Machine 1,1,7.0,0.0,460.0,1,7,60.0
Case 188,Turning & Milling Q.C.,0,,,,0,0,4.0
Case 188,Wire Cut - Machine 13,3,18.666666666666668,0.0,40.333333333333336,2,56,360.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,130.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,205.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,623.0
Case 188,Round Grinding - Machine 3,4,19.0,0.0,365.75,4,76,175.0
Case 188,Final Inspection Q.C.,1,0.0,0.0,64.0,1,0,4.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,175.0
Case 188,Laser Marking - Machine 7,0,,,,0,0,2.0
Case 188,Lapping - Machine 1,2,9.0,0.0,163.5,2,18,1.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,23.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,297.0
Case 188,Final Inspection Q.C.,0,,,,0,0,138.0
Case 188,Round Grinding - Machine 3,0,,,,0,0,488.0
Case 188,Round Grinding - Machine 3,6,20.666666666666668,0.0,67.5,4,124,75.0
Case 188,Final Inspection Q.C.,0,,,,0,0,244.0
Case 188,Final Inspection Q.C.,1,0.0,0.0,231.0,1,0,3.0
Case 188,Turning & Milling Q.C.,0,,,,0,0,3.0
Case 188,Turning & Milling Q.C.,0,,,,0,0,27.0
Case 188,Turning & Milling Q.C.,0,,,,0,0,26.0
Case 188,Final Inspection Q.C.,0,,,,0,0,5.0
Case 188,Packing,6,27.75,0.0,84.25,3,222,60.0
Case 188,Final Inspection Q.C.,0,,,,0,0,647.0
Case 188,Packing,4,16.833333333333332,0.0,65.0,2,101,60.0
Case 188,Final Inspection Q.C.,2,34.333333333333336,0.0,82.0,3,103,75.0
Case 189,Turning & Milling Q.C.,1,31.0,0.0,290.0,1,31,75.0
Case 189,Turning & Milling Q.C.,0,,,,0,0,60.0
Case 189,Turning & Milling Q.C.,2,55.0,0.0,120.0,2,110,130.0
Case 189,Final Inspection Q.C.,4,8.75,0.25,212.0,4,35,360.0
Case 189,Final Inspection Q.C.,1,3.0,0.0,62.0,1,3,170.0
Case 189,Packing,4,3.6,0.0,63.0,2,18,60.0
Case 19,Turning & Milling - Machine 5,1,0.0,0.0,78.0,1,0,311.0
Case 19,Turning & Milling Q.C.,1,64.0,0.0,1.0,1,64,65.0
Case 19,Turning & Milling - Machine 4,0,,,,0,0,650.0
Case 19,Turning & Milling Q.C.,0,,,,0,0,80.0
Case 19,Laser Marking - Machine 7,0,,,,0,0,52.0
Case 19,Lapping - Machine 1,5,30.4,0.0,131.0,2,152,75.0
Case 19,Lapping - Machine 1,0,,,,0,0,38.0
Case 19,Round Grinding - Machine 3,0,,,,0,0,90.0
Case 19,Round Grinding - Machine 3,0,,,,0,0,228.0
Case 19,Round Grinding - Machine 3,1,0.0,0.0,140.0,1,0,455.0
Case 19,Round  Q.C.,0,,,,0,0,75.0
Case 19,Packing,7,49.111111111111114,0.0,60.0,1,442,60.0
Case 19,Packing,7,49.111111111111114,0.0,60.0,1,442,60.0
Case 19,Round  Q.C.,0,,,,0,0,60.0
Case 19,Final Inspection Q.C.,0,,,,0,0,75.0
Case 190,Packing,4,23.5,0.0,75.0,3,94,60.0
Case 190,Final Inspection Q.C.,1,10.0,0.0,75.0,1,10,75.0
Case 190,Turning & Milling Q.C.,0,,,,0,0,143.0
Case 190,Final Inspection Q.C.,6,10.5,0.0,65.0,3,63,75.0
Case 190,Turning & Milling Q.C.,0,,,,0,0,112.0
Case 192,Rework Milling - Machine 28,0,,,,0,0,120.0
Case 192,Turning & Milling Q.C.,1,10.0,0.0,50.0,1,10,61.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,383.0
Case 192,Turning & Milling Q.C.,1,54.0,0.0,169.0,1,54,95.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,84.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,423.0
Case 192,Turning & Milling - Machine 9,4,8.25,0.0,309.75,4,33,3.0
Case 192,Turning & Milling Q.C.,2,0.3333333333333333,0.0,110.33333333333333,2,1,100.0
Case 192,Turning & Milling - Machine 9,1,73.0,0.0,9.0,1,73,181.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,340.0
Case 192,Turning & Milling - Machine 9,2,5.0,0.0,108.5,2,10,631.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,359.0
Case 192,Turning & Milling Q.C.,1,0.0,1.0,1.0,1,0,63.0
Case 192,Turning & Milling - Machine 9,1,0.0,0.0,122.0,1,0,507.0
Case 192,Turning & Milling - Machine 9,1,0.0,0.0,179.0,1,0,15.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,419.0
Case 192,Turning & Milling - Machine 9,2,17.0,0.0,248.5,2,34,437.0
Case 192,Turning & Milling Q.C.,1,2.0,0.0,75.0,1,2,21.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,413.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,438.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,139.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,22.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,81.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,62.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,99.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,322.0
Case 192,Turning & Milling - Machine 9,2,8.0,0.0,420.0,2,16,420.0
Case 192,Turning & Milling - Machine 9,4,8.0,0.0,171.75,2,32,389.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,171.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,75.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,228.0
Case 192,Turning & Milling - Machine 9,1,5.0,0.0,113.0,1,5,117.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,641.0
Case 192,Turning & Milling - Machine 9,1,0.0,0.0,32.0,1,0,495.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,62.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,433.0
Case 192,Turning & Milling - Machine 9,1,22.0,0.0,430.0,1,22,431.0
Case 192,Turning & Milling - Machine 9,1,24.0,0.0,537.0,1,24,115.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,160.0
Case 192,Turning & Milling Q.C.,0,,,,0,0,140.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,75.0
Case 192,Milling - Machine 14,0,,,,0,0,354.0
Case 192,Milling - Machine 14,0,,,,0,0,360.0
Case 192,Final Inspection Q.C.,0,,,,0,0,60.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,661.0
Case 192,Milling - Machine 14,0,,,,0,0,132.0
Case 192,Milling - Machine 14,0,,,,0,0,94.0
Case 192,Milling - Machine 14,0,,,,0,0,502.0
Case 192,Milling - Machine 14,0,,,,0,0,210.0
Case 192,Milling - Machine 14,1,0.0,0.0,130.0,1,0,150.0
Case 192,Turning & Milling - Machine 9,0,,,,0,0,75.0
Case 192,Milling - Machine 14,0,,,,0,0,154.0
Case 192,Milling - Machine 14,0,,,,0,0,68.0
Case 192,Milling - Machine 14,2,49.5,0.0,641.5,2,99,604.0
Case 192,Milling - Machine 14,1,103.0,0.0,240.0,1,103,85.0
Case 192,Milling - Machine 14,0,,,,0,0,350.0
