Case ID,Activity,Last Qty Completed,Last Qty Rejected,Completion Time (minutes)
Case 185,Grinding Rework - Machine 27,0,0,92.0
Case 185,Packing,5,0,60.0
Case 185,Packing,0,0,60.0
Case 185,Final Inspection Q.C.,5,0,43.0
Case 185,Turning & Milling Q.C.,0,0,190.0
Case 185,Turning & Milling Q.C.,7,0,134.0
Case 185,Laser Marking - Machine 7,7,0,57.0
Case 185,Lapping - Machine 1,7,0,120.0
Case 185,Final Inspection Q.C.,0,0,78.0
Case 185,Final Inspection Q.C.,0,0,55.0
Case 185,Lapping - Machine 1,0,0,32.0
Case 185,Round Grinding - Machine 2,0,0,162.0
Case 185,Round Grinding - Machine 2,1,0,149.0
Case 185,Round Grinding - Machine 2,6,0,115.0
Case 185,Round Grinding - Machine 2,1,0,167.0
Case 185,Round Grinding - Machine 2,6,0,118.0
Case 185,Final Inspection Q.C.,0,0,542.0
Case 185,Final Inspection Q.C.,0,0,230.0
Case 185,Packing,7,0,60.0
Case 185,Final Inspection Q.C.,7,0,40.0
Case 187,Lapping - Machine 1,0,0,150.0
Case 187,Round Grinding - Machine 3,0,0,144.0
Case 187,Round Grinding - Machine 3,2,0,140.0
Case 187,Round Grinding - Machine 3,33,0,647.0
Case 187,Round Grinding - Machine 3,25,0,537.0
Case 187,Round Grinding - Machine 3,10,0,245.0
Case 187,Round Grinding - Machine 3,37,0,644.0
Case 187,Round Grinding - Machine 3,21,0,532.0
Case 187,Round Grinding - Machine 3,23,0,458.0
Case 187,Round Grinding - Machine 3,7,0,177.0
Case 187,Round Grinding - Machine 3,0,0,228.0
Case 187,Lapping - Machine 1,0,0,43.0
Case 187,Round Grinding - Machine 3,14,0,440.0
Case 187,Round Grinding - Machine 3,8,0,344.0
Case 187,Round Grinding - Machine 3,0,0,112.0
Case 187,Round Grinding - Machine 3,0,0,139.0
Case 187,Final Inspection Q.C.,0,0,351.0
Case 187,Final Inspection Q.C.,0,0,347.0
Case 187,Final Inspection Q.C.,0,0,356.0
Case 187,Final Inspection Q.C.,0,0,361.0
Case 187,Packing,60,0,60.0
Case 187,Final Inspection Q.C.,60,0,120.0
Case 187,Final Inspection Q.C.,0,0,71.0
Case 187,Round Grinding - Machine 3,7,0,75.0
Case 187,Final Inspection Q.C.,0,0,15.0
Case 187,Final Inspection Q.C.,119,0,9.0
Case 187,Final Inspection Q.C.,0,0,61.0
Case 187,Final Inspection Q.C.,0,0,115.0
Case 187,Final Inspection Q.C.,1,2,2.0
Case 187,Packing,120,0,60.0
Case 187,Packing,5,0,60.0
Case 187,Packing,1,0,60.0
Case 187,Final Inspection Q.C.,1,0,181.0
Case 187,Laser Marking - Machine 7,0,4,75.0
Case 188,Laser Marking - Machine 7,144,0,105.0
Case 188,Lapping - Machine 1,0,0,30.0
Case 188,Lapping - Machine 1,0,0,160.0
Case 188,Lapping - Machine 1,144,0,60.0
Case 188,Turning & Milling Q.C.,27,0,4.0
Case 188,Wire Cut - Machine 13,27,0,360.0
Case 188,Round Grinding - Machine 3,0,0,130.0
Case 188,Round Grinding - Machine 3,22,0,205.0
Case 188,Round Grinding - Machine 3,45,0,623.0
Case 188,Round Grinding - Machine 3,10,0,175.0
Case 188,Final Inspection Q.C.,0,0,4.0
Case 188,Round Grinding - Machine 3,12,0,175.0
Case 188,Laser Marking - Machine 7,27,0,2.0
Case 188,Lapping - Machine 1,27,0,1.0
Case 188,Round Grinding - Machine 3,0,0,23.0
Case 188,Round Grinding - Machine 3,23,0,297.0
Case 188,Final Inspection Q.C.,0,0,138.0
Case 188,Round Grinding - Machine 3,39,0,488.0
Case 188,Round Grinding - Machine 3,20,0,75.0
Case 188,Final Inspection Q.C.,0,0,244.0
Case 188,Final Inspection Q.C.,27,0,3.0
Case 188,Turning & Milling Q.C.,0,5,3.0
Case 188,Turning & Milling Q.C.,0,0,27.0
Case 188,Turning & Milling Q.C.,0,0,26.0
Case 188,Final Inspection Q.C.,0,6,5.0
Case 188,Packing,27,0,60.0
Case 188,Final Inspection Q.C.,0,0,647.0
Case 188,Packing,149,0,60.0
Case 188,Final Inspection Q.C.,149,0,75.0
Case 189,Turning & Milling Q.C.,0,1,75.0
Case 189,Turning & Milling Q.C.,0,1,60.0
Case 189,Turning & Milling Q.C.,0,1,130.0
Case 189,Final Inspection Q.C.,0,0,360.0
Case 189,Final Inspection Q.C.,1,0,170.0
Case 189,Packing,1,0,60.0
Case 19,Turning & Milling - Machine 5,1,0,311.0
Case 19,Turning & Milling Q.C.,0,0,65.0
Case 19,Turning & Milling - Machine 4,32,0,650.0
Case 19,Turning & Milling Q.C.,33,0,80.0
Case 19,Laser Marking - Machine 7,33,0,52.0
Case 19,Lapping - Machine 1,0,0,75.0
Case 19,Lapping - Machine 1,31,0,38.0
Case 19,Round Grinding - Machine 3,0,0,90.0
Case 19,Round Grinding - Machine 3,10,0,228.0
Case 19,Round Grinding - Machine 3,21,0,455.0
Case 19,Round  Q.C.,0,0,75.0
Case 19,Packing,25,0,60.0
Case 19,Packing,4,0,60.0
Case 19,Round  Q.C.,29,2,60.0
Case 19,Final Inspection Q.C.,29,0,75.0
Case 190,Packing,7,0,60.0
Case 190,Final Inspection Q.C.,7,0,75.0
Case 190,Turning & Milling Q.C.,0,0,143.0
Case 190,Final Inspection Q.C.,0,0,75.0
Case 190,Turning & Milling Q.C.,0,0,112.0
Case 192,Rework Milling - Machine 28,0,0,120.0
Case 192,Turning & Milling Q.C.,0,0,61.0
Case 192,Turning & Milling - Machine 9,1,0,383.0
Case 192,Turning & Milling Q.C.,0,0,95.0
Case 192,Turning & Milling - Machine 9,0,0,84.0
Case 192,Turning & Milling - Machine 9,7,0,423.0
Case 192,Turning & Milling - Machine 9,0,0,3.0
Case 192,Turning & Milling Q.C.,0,0,100.0
Case 192,Turning & Milling - Machine 9,3,0,181.0
Case 192,Turning & Milling - Machine 9,6,0,340.0
Case 192,Turning & Milling - Machine 9,11,0,631.0
Case 192,Turning & Milling - Machine 9,6,0,359.0
Case 192,Turning & Milling Q.C.,0,0,63.0
Case 192,Turning & Milling - Machine 9,9,0,507.0
Case 192,Turning & Milling - Machine 9,0,0,15.0
Case 192,Turning & Milling - Machine 9,7,0,419.0
Case 192,Turning & Milling - Machine 9,8,0,437.0
Case 192,Turning & Milling Q.C.,0,0,21.0
Case 192,Turning & Milling - Machine 9,8,0,413.0
Case 192,Turning & Milling - Machine 9,1,0,438.0
Case 192,Turning & Milling Q.C.,60,0,139.0
Case 192,Turning & Milling Q.C.,6,0,22.0
Case 192,Turning & Milling - Machine 9,0,0,81.0
Case 192,Turning & Milling Q.C.,1,0,62.0
Case 192,Turning & Milling - Machine 9,1,0,99.0
Case 192,Turning & Milling - Machine 9,6,0,322.0
Case 192,Turning & Milling - Machine 9,6,0,420.0
Case 192,Turning & Milling - Machine 9,6,0,389.0
Case 192,Turning & Milling Q.C.,20,0,171.0
Case 192,Turning & Milling - Machine 9,1,0,75.0
Case 192,Turning & Milling - Machine 9,4,0,228.0
Case 192,Turning & Milling - Machine 9,2,0,117.0
Case 192,Turning & Milling - Machine 9,12,0,641.0
Case 192,Turning & Milling - Machine 9,8,0,495.0
Case 192,Turning & Milling Q.C.,20,0,62.0
Case 192,Turning & Milling - Machine 9,8,0,433.0
Case 192,Turning & Milling - Machine 9,7,0,431.0
Case 192,Turning & Milling - Machine 9,0,0,115.0
Case 192,Turning & Milling - Machine 9,2,0,160.0
Case 192,Turning & Milling Q.C.,23,0,140.0
Case 192,Turning & Milling - Machine 9,0,0,75.0
Case 192,Milling - Machine 14,0,0,354.0
Case 192,Milling - Machine 14,0,0,360.0
Case 192,Final Inspection Q.C.,0,0,60.0
Case 192,Turning & Milling - Machine 9,0,0,661.0
Case 192,Milling - Machine 14,3,0,132.0
Case 192,Milling - Machine 14,2,0,94.0
Case 192,Milling - Machine 14,7,0,502.0
Case 192,Milling - Machine 14,3,0,210.0
Case 192,Milling - Machine 14,4,0,150.0
Case 192,Turning & Milling - Machine 9,0,0,75.0
Case 192,Milling - Machine 14,3,0,154.0
Case 192,Milling - Machine 14,3,0,68.0
Case 192,Milling - Machine 14,7,0,604.0
Case 192,Milling - Machine 14,2,0,85.0
Case 192,Milling - Machine 14,9,0,350.0
Case 192,Milling - Machine 14,6,0,625.0
Case 192,Milling - Machine 14,5,0,195.0
Case 192,Milling - Machine 14,1,0,60.0
Case 192,Milling - Machine 14,3,0,90.0
Case 192,Milling - Machine 14,6,0,624.0
Case 192,Packing,65,0,60.0
Case 192,Final Inspection Q.C.,65,0,214.0
Case 194,Turning & Milling - Machine 10,0,0,40.0
Case 194,Turning & Milling - Machine 10,0,0,552.0
Case 194,Turning & Milling Q.C.,0,0,92.0
Case 194,Turning & Milling - Machine 10,3,0,637.0
Case 194,Turning & Milling Q.C.,0,0,189.0
Case 194,Turning & Milling - Machine 10,8,0,579.0
Case 194,Turning & Milling - Machine 10,7,0,356.0
Case 194,Turning & Milling Q.C.,37,0,90.0
Case 194,Turning & Milling - Machine 10,20,0,1212.0
Case 194,Stress Relief,39,0,240.0
Case 194,Turning & Milling - Machine 10,2,0,202.0
Case 194,Turning & Milling Q.C.,0,0,538.0
Case 194,Turning - Machine 9,2,0,427.0
Case 194,Turning - Machine 9,4,0,86.0
Case 194,Turning - Machine 9,27,0,535.0
Case 194,Turning & Milling Q.C.,2,1,30.0
Case 194,Turning - Machine 9,4,0,86.0
Case 194,Turning - Machine 9,2,0,1.0
Case 194,Turning Q.C.,38,1,100.0
Case 194,Laser Marking - Machine 7,38,0,26.0
Case 194,Lapping - Machine 1,0,0,75.0
Case 194,Lapping - Machine 1,38,0,189.0
Case 194,Final Inspection Q.C.,0,0,230.0
Case 194,Final Inspection Q.C.,0,0,262.0
Case 194,Final Inspection Q.C.,0,0,421.0
Case 194,Final Inspection Q.C.,0,0,181.0
Case 194,Grinding Rework - Machine 27,0,0,114.0
Case 194,Final Inspection Q.C.,0,0,60.0
Case 194,Final Inspection Q.C.,38,0,300.0
Case 194,Packing,5,0,60.0
Case 194,Packing,0,0,60.0
Case 194,Packing,0,0,60.0
Case 194,Packing,33,0,60.0
Case 195,Turning & Milling Q.C.,80,0,185.0
Case 195,Flat Grinding - Machine 11,0,0,75.0
Case 195,Lapping - Machine 1,40,0,97.0
Case 195,Lapping - Machine 1,40,0,235.0
Case 195,Flat Grinding - Machine 11,69,0,265.0
Case 195,Flat Grinding - Machine 11,11,0,43.0
Case 195,Round Grinding - Machine 2,0,0,79.0
Case 195,Round Grinding - Machine 2,0,0,147.0
Case 195,Round Grinding - Machine 2,9,0,171.0
Case 195,Round Grinding - Machine 2,36,0,529.0
Case 195,Round Grinding - Machine 2,35,0,473.0
Case 195,Round Grinding - Q.C.,80,0,88.0
Case 195,Packing,80,0,60.0
Case 195,Final Inspection Q.C.,80,0,45.0
Case 196,Turning & Milling Q.C.,0,0,159.0
Case 196,Grinding Rework - Machine 27,0,0,117.0
Case 196,Final Inspection Q.C.,3,1,46.0
Case 196,Packing,3,0,60.0
Case 198,Turning & Milling - Machine 5,0,0,235.0
Case 198,Turning & Milling - Machine 5,1,0,180.0
Case 198,Turning & Milling - Machine 5,26,0,330.0
Case 198,Turning & Milling Q.C.,0,1,68.0
Case 198,Turning & Milling - Machine 5,1,0,1.0
Case 198,Turning & Milling - Machine 5,11,0,112.0
Case 198,Turning & Milling - Machine 5,2,0,59.0
Case 198,Turning & Milling - Machine 5,26,0,328.0
Case 198,Turning & Milling - Machine 5,33,0,349.0
Case 198,Turning & Milling Q.C.,95,0,44.0
Case 198,Laser Marking - Machine 7,95,0,60.0
Case 198,Turning Rework - Machine 21,4,0,90.0
Case 198,Turning & Milling Q.C.,4,0,61.0
Case 198,Lapping - Machine 1,0,0,240.0
Case 198,Lapping - Machine 1,25,0,85.0
Case 198,Lapping - Machine 1,0,0,75.0
Case 198,Lapping - Machine 1,50,0,65.0
Case 198,Lapping - Machine 1,0,0,75.0
Case 198,Lapping - Machine 1,20,0,0.0
Case 198,Laser Marking - Machine 7,0,0,75.0
Case 198,Round Grinding - Machine 2,0,0,178.0
Case 198,Round Grinding - Machine 2,7,0,126.0
Case 198,Round Grinding - Machine 2,10,0,198.0
Case 198,Round Grinding - Machine 2,19,0,398.0
Case 198,Round Grinding - Machine 2,10,0,273.0
Case 198,Round Grinding - Machine 2,18,0,504.0
Case 198,Round Grinding - Machine 2,1,0,8.0
Case 198,Round Grinding - Machine 2,17,0,479.0
Case 198,Round Grinding - Machine 2,13,0,262.0
Case 198,Final Inspection Q.C.,86,4,162.0
Case 198,Packing,86,0,60.0
Case 198,Packing,1,0,60.0
Case 198,Final Inspection Q.C.,1,0,122.0
Case 198,Grinding Rework - Machine 27,0,0,156.0
Case 198,Packing,4,0,60.0
Case 198,Final Inspection Q.C.,4,0,75.0
Case 198,Laser Marking - Machine 7,4,0,75.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,36,0,431.0
Case 199,Lapping - Machine 1,0,0,25.0
Case 199,Lapping - Machine 1,0,0,160.0
Case 199,Lapping - Machine 1,0,0,21.0
Case 199,Round Grinding - Machine 2,0,0,8.0
Case 199,Round Grinding - Machine 2,0,0,171.0
Case 199,Round Grinding - Machine 2,9,0,198.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,0,0,166.0
Case 199,Turning & Milling Q.C.,0,1,60.0
Case 199,Turning & Milling - Machine 10,0,0,69.0
Case 199,Turning & Milling - Machine 10,2,0,520.0
Case 199,Round Grinding - Machine 2,0,0,951.0
Case 199,Turning & Milling - Machine 10,20,0,897.0
Case 199,Round Grinding - Machine 2,8,0,205.0
Case 199,Round Grinding - Machine 2,19,0,596.0
Case 199,Turning & Milling - Machine 10,31,0,1380.0
Case 199,Round Grinding - Machine 2,14,0,352.0
Case 199,Lapping - Machine 1,36,0,114.0
Case 199,Round Grinding - Machine 2,16,0,540.0
Case 199,Turning & Milling - Machine 10,6,0,387.0
Case 199,Round Grinding - Machine 2,5,0,198.0
Case 199,Turning & Milling - Machine 10,7,0,122.0
Case 199,Final Inspection Q.C.,0,0,230.0
Case 199,Final Inspection Q.C.,0,0,66.0
Case 199,Turning & Milling Q.C.,64,0,87.0
Case 199,Turning & Milling - Machine 10,8,0,612.0
Case 199,Turning & Milling - Machine 10,11,0,627.0
Case 199,Laser Marking - Machine 7,64,0,42.0
Case 199,Turning & Milling - Machine 10,8,0,429.0
Case 199,Final Inspection Q.C.,0,0,35.0
Case 199,Final Inspection Q.C.,0,0,167.0
Case 199,Final Inspection Q.C.,0,0,53.0
Case 199,Turning & Milling - Machine 10,1,0,223.0
Case 199,Final Inspection Q.C.,0,0,100.0
Case 199,Final Inspection Q.C.,0,0,230.0
Case 199,Turning & Milling - Machine 10,6,0,407.0
Case 199,Final Inspection Q.C.,0,1,40.0
Case 199,Final Inspection Q.C.,0,1,30.0
Case 199,Turning & Milling - Machine 10,3,0,99.0
Case 199,Turning & Milling Q.C.,37,0,134.0
Case 199,Turning & Milling Q.C.,0,2,20.0
Case 199,Turning & Milling Q.C.,0,1,6.0
Case 199,Turning & Milling Q.C.,0,1,10.0
Case 199,Laser Marking - Machine 7,39,0,80.0
Case 199,Grinding Rework - Machine 27,0,0,33.0
Case 199,Final Inspection Q.C.,0,0,100.0
Case 199,Final Inspection Q.C.,68,0,170.0
Case 199,Packing,68,0,60.0
Case 199,Lapping - Machine 1,8,0,23.0
Case 199,Round Grinding - Machine 3,0,0,121.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Round Grinding - Machine 3,8,0,220.0
Case 199,Round Grinding - Machine 3,0,0,60.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,0,0,359.0
Case 199,Lapping - Machine 1,72,0,145.0
Case 199,Round Grinding - Machine 3,0,0,194.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Round Grinding - Machine 3,8,0,307.0
Case 199,Lapping - Machine 1,0,0,207.0
Case 199,Round Grinding - Machine 3,0,0,78.0
Case 199,Round Grinding - Machine 3,9,0,145.0
Case 199,Round Grinding - Machine 3,6,0,146.0
Case 199,Lapping - Machine 1,15,0,1.0
Case 199,Round Grinding - Machine 3,0,0,9.0
Case 199,Round Grinding - Machine 3,19,0,482.0
Case 199,Final Inspection Q.C.,0,0,100.0
Case 199,Lapping - Machine 1,0,0,63.0
Case 199,Final Inspection Q.C.,0,0,60.0
Case 199,Final Inspection Q.C.,0,0,110.0
Case 199,Round Grinding - Machine 3,2,0,52.0
Case 199,Final Inspection Q.C.,0,0,113.0
Case 199,Round Grinding - Machine 3,20,0,584.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,0,0,75.0
Case 199,Lapping - Machine 1,8,0,73.0
Case 199,Round Grinding - Machine 3,20,0,514.0
Case 199,Final Inspection Q.C.,0,0,70.0
Case 199,Final Inspection Q.C.,0,0,230.0
Case 199,Round Grinding - Machine 3,11,0,212.0
Case 199,Final Inspection Q.C.,11,0,60.0
Case 199,Packing,10,0,60.0
Case 199,Grinding Rework - Machine 27,0,0,140.0
Case 199,Final Inspection Q.C.,0,0,197.0
Case 199,Grinding Rework - Machine 27,0,0,66.0
Case 199,Grinding Rework - Machine 27,0,0,91.0
Case 199,Final Inspection Q.C.,0,0,241.0
Case 199,Final Inspection Q.C.,0,0,301.0
Case 199,Packing,25,0,60.0
Case 199,Final Inspection Q.C.,25,0,75.0
Case 199,Final Inspection Q.C.,29,0,100.0
Case 199,Grinding Rework - Machine 27,0,0,102.0
Case 199,Packing,29,0,60.0
Case 199,Packing,1,0,60.0
Case 199,Packing,0,0,60.0
Case 199,Grinding Rework - Machine 27,0,0,201.0
Case 199,Packing,16,0,60.0
Case 199,Final Inspection Q.C.,0,0,180.0
Case 199,Final Inspection Q.C.,16,0,75.0
Case 199,Packing,5,0,60.0
Case 199,Final Inspection Q.C.,5,0,73.0
Case 199,Final Inspection Q.C.,0,2,22.0
Case 199,Final Inspection Q.C.,0,1,10.0
Case 199,Final Inspection Q.C.,0,1,10.0
Case 199,Final Inspection Q.C.,0,2,20.0
Case 20,Turning & Milling - Machine 4,1,0,350.0
Case 20,Turning & Milling Q.C.,0,0,121.0
Case 20,Turning & Milling - Machine 4,8,0,89.0
Case 20,Turning & Milling - Machine 4,20,0,70.0
Case 20,Turning & Milling - Machine 4,2,0,249.0
Case 20,Turning & Milling - Machine 4,22,0,122.0
Case 20,Turning & Milling - Machine 4,39,0,537.0
Case 20,Turning & Milling - Machine 4,7,0,47.0
Case 20,Turning & Milling - Machine 4,55,0,635.0
Case 20,Turning & Milling Q.C.,170,0,27.0
Case 20,Turning & Milling - Machine 4,16,0,180.0
Case 20,Laser Marking - Machine 7,170,0,61.0
Case 20,Round Grinding - Machine 3,0,0,30.0
Case 20,Round Grinding - Machine 3,15,0,75.0
Case 20,Round Grinding - Machine 3,16,0,150.0
Case 20,Round Grinding - Machine 3,54,0,455.0
Case 20,Round Grinding - Machine 3,60,0,438.0
Case 20,Round Grinding - Machine 3,25,0,188.0
Case 20,Round Grinding - Machine 3,0,0,21.0
Case 20,Turning & Milling Q.C.,0,0,17.0
Case 20,Round Grinding - Machine 2,0,0,75.0
Case 20,Round Grinding - Machine 2,47,0,203.0
Case 20,Round Grinding - Machine 2,123,0,360.0
Case 20,Final Inspection Q.C.,167,3,471.0
Case 20,Packing,167,0,60.0
Case 200,Milling - Machine 10,1,0,75.0
Case 200,Grinding Rework - Machine 27,0,0,74.0
Case 200,Final Inspection Q.C.,1,0,28.0
Case 200,Final Inspection Q.C.,0,1,75.0
Case 200,Packing,1,0,60.0
Case 200,Lapping - Machine 1,1,0,75.0
Case 200,Round Grinding - Machine 3,1,0,75.0
Case 201,Round Grinding - Q.C.,13,0,75.0
Case 201,Turning & Milling Q.C.,13,0,75.0
Case 201,Turning - Machine 8,0,0,1.0
Case 201,Turning - Machine 8,1,0,220.0
Case 201,Turning - Machine 8,2,0,224.0
Case 201,Turning - Machine 8,0,0,3.0
Case 201,Turning - Machine 8,1,0,69.0
Case 201,Turning - Machine 8,0,0,279.0
Case 201,Turning - Machine 8,1,0,28.0
Case 201,Turning - Machine 8,1,0,71.0
Case 201,Turning Q.C.,3,0,61.0
Case 201,Turning & Milling Q.C.,0,0,130.0
Case 201,Turning & Milling - Machine 8,0,0,489.0
Case 201,Turning & Milling - Machine 8,1,0,111.0
Case 201,Turning & Milling - Machine 8,2,0,174.0
Case 201,Milling - Machine 16,0,0,660.0
Case 201,Turning & Milling Q.C.,0,0,301.0
Case 201,Packing,12,0,60.0
Case 201,Milling - Machine 16,0,0,506.0
Case 201,Milling - Machine 16,0,0,247.0
Case 201,Round Grinding - Machine 2,2,0,75.0
Case 201,Round Grinding - Manual,2,0,75.0
Case 201,Round Grinding - Q.C.,2,0,75.0
Case 201,Turning & Milling Q.C.,2,1,61.0
Case 201,Round Grinding - Manual,2,0,140.0
Case 201,Round Grinding - Manual,0,0,125.0
Case 201,Turning & Milling Q.C.,3,0,75.0
Case 201,Turning & Milling Q.C.,0,0,328.0
Case 201,Turning & Milling Q.C.,0,0,120.0
Case 201,Turning & Milling Q.C.,3,0,75.0
Case 203,Turning & Milling Q.C.,5,0,103.0
Case 203,Laser Marking - Machine 7,5,0,50.0
Case 203,Lapping - Machine 1,0,0,75.0
Case 203,Flat Grinding - Machine 11,5,0,26.0
Case 203,Lapping - Machine 1,5,0,29.0
Case 203,Packing,5,0,60.0
Case 203,Final Inspection Q.C.,5,0,13.0
Case 205,Round Grinding - Manual,0,0,100.0
Case 205,Round Grinding - Manual,0,0,50.0
Case 205,Final Inspection Q.C.,2,0,47.0
Case 205,Packing,2,0,60.0
Case 206,Turning & Milling Q.C.,0,0,5.0
Case 206,Laser Marking - Machine 7,21,0,11.0
Case 206,Lapping - Machine 1,21,0,49.0
Case 206,Round Grinding - Manual,0,0,94.0
Case 206,Round Grinding - Manual,10,0,436.0
Case 206,Final Inspection Q.C.,0,0,296.0
Case 206,Final Inspection Q.C.,10,0,75.0
Case 206,Packing,10,0,60.0
Case 206,Round Grinding - Machine 12,0,0,60.0
Case 206,Round Grinding - Machine 12,5,0,105.0
Case 206,Round Grinding - Machine 12,6,0,100.0
Case 206,Final Inspection Q.C.,0,1,119.0
Case 206,Final Inspection Q.C.,10,0,75.0
Case 206,Packing,10,0,60.0
Case 207,Turning & Milling - Machine 6,0,0,75.0
Case 207,Turning & Milling - Machine 6,1,0,390.0
Case 207,Turning & Milling - Machine 6,0,0,75.0
Case 207,Turning & Milling - Machine 6,4,0,120.0
Case 207,Turning & Milling - Machine 6,11,0,210.0
Case 207,Turning & Milling - Machine 6,1,0,539.0
Case 207,Turning & Milling - Machine 6,0,0,300.0
Case 207,Turning & Milling - Machine 6,0,0,75.0
Case 207,Turning & Milling - Machine 6,0,0,75.0
Case 207,Turning & Milling - Machine 6,0,0,113.0
Case 207,Turning & Milling - Machine 6,12,0,369.0
Case 207,Turning & Milling - Machine 6,17,0,458.0
Case 207,Turning & Milling - Machine 6,9,0,450.0
Case 207,Turning & Milling - Machine 6,8,0,661.0
Case 207,Turning & Milling - Machine 9,0,0,75.0
Case 207,Turning & Milling - Machine 6,0,0,395.0
Case 207,Turning & Milling Q.C.,56,0,60.0
Case 207,Turning & Milling Q.C.,0,3,20.0
Case 207,Turning & Milling Q.C.,0,2,10.0
Case 207,Turning & Milling Q.C.,0,1,10.0
Case 207,Turning & Milling - Machine 9,63,0,1.0
Case 207,Turning & Milling Q.C.,0,1,13.0
Case 207,Lapping - Machine 1,0,0,75.0
Case 207,Laser Marking - Machine 7,50,0,64.0
Case 207,Lapping - Machine 1,50,0,115.0
Case 207,Laser Marking - Machine 7,6,0,1.0
Case 207,Lapping - Machine 1,6,0,75.0
Case 207,Round Grinding - Machine 2,0,0,149.0
Case 207,Round Grinding - Machine 2,0,0,56.0
Case 207,Round Grinding - Machine 2,9,0,128.0
Case 207,Round Grinding - Machine 2,14,0,174.0
Case 207,Round Grinding - Machine 2,14,0,273.0
Case 207,Round Grinding - Machine 2,0,0,89.0
Case 207,Final Inspection Q.C.,0,0,30.0
Case 207,Final Inspection Q.C.,0,0,60.0
Case 207,Final Inspection Q.C.,0,0,110.0
Case 207,Final Inspection Q.C.,0,0,171.0
Case 207,Final Inspection Q.C.,0,0,150.0
Case 207,Final Inspection Q.C.,56,0,15.0
Case 207,Packing,0,0,60.0
Case 207,Packing,56,0,60.0
Case 208,Turning & Milling - Machine 10,0,0,442.0
Case 208,Turning & Milling - Machine 10,0,0,396.0
Case 208,Turning & Milling - Machine 10,0,0,238.0
Case 208,Turning & Milling - Machine 10,2,0,275.0
Case 208,Turning & Milling - Machine 10,2,0,510.0
Case 208,Turning & Milling - Machine 10,1,0,86.0
Case 208,Turning & Milling - Machine 10,6,0,596.0
Case 208,Turning & Milling - Machine 10,2,0,132.0
Case 208,Turning & Milling Q.C.,10,3,360.0
Case 208,Laser Marking - Machine 7,10,0,53.0
Case 208,Lapping - Machine 1,10,0,141.0
Case 208,Round Grinding - Machine 2,0,0,364.0
Case 208,Round Grinding - Machine 2,4,0,167.0
Case 208,Round Grinding - Machine 2,6,0,311.0
Case 208,Final Inspection Q.C.,0,0,120.0
Case 208,Grinding Rework - Machine 27,0,0,277.0
Case 208,Grinding Rework - Machine 27,0,0,100.0
Case 208,Grinding Rework - Machine 27,0,0,158.0
Case 208,Grinding Rework - Machine 27,0,0,155.0
Case 208,Packing,10,0,60.0
Case 208,Final Inspection Q.C.,10,0,60.0
Case 209,Turning & Milling - Machine 6,0,0,353.0
Case 209,Turning & Milling - Machine 6,0,0,217.0
Case 209,Turning & Milling - Machine 6,53,0,364.0
Case 209,Turning & Milling - Machine 6,0,0,53.0
Case 209,Turning & Milling - Machine 6,80,0,640.0
Case 209,Turning & Milling - Machine 6,35,0,264.0
Case 209,Turning & Milling Q.C.,168,0,9.0
Case 209,Laser Marking - Machine 7,168,0,75.0
Case 209,Lapping - Machine 1,168,0,375.0
Case 209,Final Inspection Q.C.,168,0,212.0
Case 209,Packing,96,0,60.0
Case 209,Packing,72,0,60.0
Case 21,Turning & Milling - Machine 4,0,0,628.0
Case 21,Turning & Milling - Machine 4,51,0,406.0
Case 21,Turning & Milling Q.C.,0,0,350.0
Case 21,Turning & Milling - Machine 4,0,0,75.0
Case 21,Turning & Milling - Machine 4,25,0,326.0
Case 21,Turning & Milling - Machine 4,35,0,1252.0
Case 21,Turning & Milling - Machine 4,25,0,300.0
Case 21,Turning & Milling - Machine 4,15,0,386.0
Case 21,Turning & Milling Q.C.,0,0,75.0
Case 21,Turning & Milling Q.C.,0,0,64.0
Case 21,Turning & Milling Q.C.,0,0,65.0
Case 21,Turning & Milling Q.C.,151,0,1.0
Case 21,Laser Marking - Machine 7,151,0,51.0
Case 21,Round Grinding - Machine 3,0,0,62.0
Case 21,Round Grinding - Machine 3,17,0,110.0
Case 21,Round Grinding - Machine 3,85,0,930.0
Case 21,Round Grinding - Machine 3,23,0,250.0
Case 21,Round Grinding - Machine 3,16,0,90.0
Case 21,Round Grinding - Machine 2,0,0,50.0
Case 21,Round Grinding - Machine 2,25,0,135.0
Case 21,Turning & Milling Q.C.,0,0,30.0
Case 21,Round Grinding - Machine 2,54,0,169.0
Case 21,Round Grinding - Machine 2,62,0,186.0
Case 21,Final Inspection Q.C.,0,0,33.0
Case 21,Final Inspection Q.C.,0,7,97.0
Case 21,Round Grinding - Machine 3,3,0,1.0
Case 21,Round Grinding - Machine 3,3,0,1.0
Case 21,Final Inspection Q.C.,144,0,75.0
Case 21,Packing,144,0,60.0
Case 210,Turning & Milling - Machine 6,1,0,360.0
